節氣,,西元,月,日,時,分,秒
小寒,,2026,1,5,16,22,57.7
大寒,,2026,1,20,9,44,44.06
立春,,2026,2,4,4,1,56.33
雨水,,2026,2,18,23,51,43.99
驚蟄,,2026,3,5,21,58,48.03
春分,,2026,3,20,22,45,46.36
清明,,2026,4,5,2,39,48.06
穀雨,,2026,4,20,9,38,55.21
立夏,,2026,5,5,19,48,31.93
小滿,,2026,5,21,8,36,32.17
芒種,,2026,6,5,23,48,9.796
夏至,,2026,6,21,16,24,18.45
小暑,,2026,7,7,9,56,45.46
大暑,,2026,7,23,3,12,52.92
立秋,,2026,8,7,19,42,32.23
處暑,,2026,8,23,10,18,35.98
白露,,2026,9,7,22,41,4.639
秋分,,2026,9,23,8,5,0.496
寒露,,2026,10,8,14,29,5.365
霜降,,2026,10,23,17,37,43.59
立冬,,2026,11,7,17,51,51.8
小雪,,2026,11,22,15,23,8.053
大雪,,2026,12,7,10,52,19.27
冬至,,2026,12,22,4,50,1.315
小寒,,2027,1,5,22,9,44.61
大寒,,2027,1,20,15,29,37.74
立春,,2027,2,4,9,46,4.714
雨水,,2027,2,19,5,33,15.85
驚蟄,,2027,3,6,3,39,18.49
春分,,2027,3,21,4,24,28.97
清明,,2027,4,5,8,17,16.33
穀雨,,2027,4,20,15,17,24.56
立夏,,2027,5,6,1,24,57.79
小滿,,2027,5,21,14,18,0.888
芒種,,2027,6,6,5,25,34.88
夏至,,2027,6,21,22,10,36.45
小暑,,2027,7,7,15,36,50.36
大暑,,2027,7,23,9,4,26.46
立秋,,2027,8,8,1,26,32.65
處暑,,2027,8,23,16,14,5.209
白露,,2027,9,8,4,28,12.07
秋分,,2027,9,23,14,1,28.55
寒露,,2027,10,8,20,16,49.76
霜降,,2027,10,23,23,32,37.54
立冬,,2027,11,7,23,38,19.1
小雪,,2027,11,22,21,15,58.92
大雪,,2027,12,7,16,37,25.7
冬至,,2027,12,22,10,41,54.57
小寒,,2025,1,5,10,32,37.07
大寒,,2025,1,20,3,59,58.32
立春,,2025,2,3,22,10,18.91
雨水,,2025,2,18,18,6,24.63
驚蟄,,2025,3,5,16,7,6.843
春分,,2025,3,20,17,1,19.14
清明,,2025,4,4,20,48,23.42
穀雨,,2025,4,20,3,55,50.63
立夏,,2025,5,5,13,57,0.946
小滿,,2025,5,21,2,54,27.65
芒種,,2025,6,5,17,56,20.87
夏至,,2025,6,21,10,42,5.834
小暑,,2025,7,7,4,4,49.43
大暑,,2025,7,22,21,29,17.59
立秋,,2025,8,7,13,51,24.79
處暑,,2025,8,23,4,33,41.5
白露,,2025,9,7,16,51,45.33
秋分,,2025,9,23,2,19,9.003
寒露,,2025,10,8,8,40,59.97
霜降,,2025,10,23,11,50,44.15
立冬,,2025,11,7,12,3,51.37
小雪,,2025,11,22,9,35,23.55
大雪,,2025,12,7,5,4,23.72
冬至,,2025,12,21,23,2,53.56
小寒,,2028,1,6,3,54,23.61
大寒,,2028,1,20,21,21,40.63
立春,,2028,2,4,15,30,59.17
雨水,,2028,2,19,11,25,46.31
驚蟄,,2028,3,5,9,24,33.87
春分,,2028,3,20,10,16,54.5
清明,,2028,4,4,14,2,51.91
穀雨,,2028,4,19,21,9,15.25
立夏,,2028,5,5,7,11,57.04
小滿,,2028,5,20,20,9,34.23
芒種,,2028,6,5,11,15,45.06
夏至,,2028,6,21,4,1,45.62
小暑,,2028,7,6,21,30,3.399
大暑,,2028,7,22,14,53,44.28
立秋,,2028,8,7,7,20,54.98
處暑,,2028,8,22,22,0,40.89
白露,,2028,9,7,10,21,54.08
秋分,,2028,9,22,19,45,3.481
寒露,,2028,10,8,2,8,14.57
霜降,,2028,10,23,5,13,6.489
立冬,,2028,11,7,5,26,59.48
小雪,,2028,11,22,2,54,6.889
大雪,,2028,12,6,22,24,24.1
冬至,,2028,12,21,16,19,24.22
小寒,,2029,1,5,9,41,38.53
大寒,,2029,1,20,3,0,36.81
立春,,2029,2,3,21,20,29.6
雨水,,2029,2,18,17,7,39.38
驚蟄,,2029,3,5,15,17,19.38
春分,,2029,3,20,16,1,42.68
清明,,2029,4,4,19,58,5.713
穀雨,,2029,4,20,2,55,26.25
立夏,,2029,5,5,13,7,29.12
小滿,,2029,5,21,1,55,35.99
芒種,,2029,6,5,17,9,41.78
夏至,,2029,6,21,9,48,1.237
小暑,,2029,7,7,3,22,7.728
大暑,,2029,7,22,20,41,49.01
立秋,,2029,8,7,13,11,28.07
處暑,,2029,8,23,3,51,19.92
白露,,2029,9,7,16,11,37.08
秋分,,2029,9,23,1,38,13.22
寒露,,2029,10,8,7,57,50.46
霜降,,2029,10,23,11,7,50.24
立冬,,2029,11,7,11,16,28.02
小雪,,2029,11,22,8,49,5.689
大雪,,2029,12,7,4,13,30.21
冬至,,2029,12,21,22,13,49.54
