日期,民國年,農曆年,農曆月,農曆日,星期
2022-01-01,111,辛丑,11,29,6
2022-01-02,111,辛丑,11,30,7
2022-01-03,111,辛丑,12,1,1
2022-01-04,111,辛丑,12,2,2
2022-01-05,111,辛丑,12,3,3
2022-01-06,111,辛丑,12,4,4
2022-01-07,111,辛丑,12,5,5
2022-01-08,111,辛丑,12,6,6
2022-01-09,111,辛丑,12,7,7
2022-01-10,111,辛丑,12,8,1
2022-01-11,111,辛丑,12,9,2
2022-01-12,111,辛丑,12,10,3
2022-01-13,111,辛丑,12,11,4
2022-01-14,111,辛丑,12,12,5
2022-01-15,111,辛丑,12,13,6
2022-01-16,111,辛丑,12,14,7
2022-01-17,111,辛丑,12,15,1
2022-01-18,111,辛丑,12,16,2
2022-01-19,111,辛丑,12,17,3
2022-01-20,111,辛丑,12,18,4
2022-01-21,111,辛丑,12,19,5
2022-01-22,111,辛丑,12,20,6
2022-01-23,111,辛丑,12,21,7
2022-01-24,111,辛丑,12,22,1
2022-01-25,111,辛丑,12,23,2
2022-01-26,111,辛丑,12,24,3
2022-01-27,111,辛丑,12,25,4
2022-01-28,111,辛丑,12,26,5
2022-01-29,111,辛丑,12,27,6
2022-01-30,111,辛丑,12,28,7
2022-01-31,111,辛丑,12,29,1
2022-02-01,111,壬寅,1,1,2
2022-02-02,111,壬寅,1,2,3
2022-02-03,111,壬寅,1,3,4
2022-02-04,111,壬寅,1,4,5
2022-02-05,111,壬寅,1,5,6
2022-02-06,111,壬寅,1,6,7
2022-02-07,111,壬寅,1,7,1
2022-02-08,111,壬寅,1,8,2
2022-02-09,111,壬寅,1,9,3
2022-02-10,111,壬寅,1,10,4
2022-02-11,111,壬寅,1,11,5
2022-02-12,111,壬寅,1,12,6
2022-02-13,111,壬寅,1,13,7
2022-02-14,111,壬寅,1,14,1
2022-02-15,111,壬寅,1,15,2
2022-02-16,111,壬寅,1,16,3
2022-02-17,111,壬寅,1,17,4
2022-02-18,111,壬寅,1,18,5
2022-02-19,111,壬寅,1,19,6
2022-02-20,111,壬寅,1,20,7
2022-02-21,111,壬寅,1,21,1
2022-02-22,111,壬寅,1,22,2
2022-02-23,111,壬寅,1,23,3
2022-02-24,111,壬寅,1,24,4
2022-02-25,111,壬寅,1,25,5
2022-02-26,111,壬寅,1,26,6
2022-02-27,111,壬寅,1,27,7
2022-02-28,111,壬寅,1,28,1
2022-03-01,111,壬寅,1,29,2
2022-03-02,111,壬寅,1,30,3
2022-03-03,111,壬寅,2,1,4
2022-03-04,111,壬寅,2,2,5
2022-03-05,111,壬寅,2,3,6
2022-03-06,111,壬寅,2,4,7
2022-03-07,111,壬寅,2,5,1
2022-03-08,111,壬寅,2,6,2
2022-03-09,111,壬寅,2,7,3
2022-03-10,111,壬寅,2,8,4
2022-03-11,111,壬寅,2,9,5
2022-03-12,111,壬寅,2,10,6
2022-03-13,111,壬寅,2,11,7
2022-03-14,111,壬寅,2,12,1
2022-03-15,111,壬寅,2,13,2
2022-03-16,111,壬寅,2,14,3
2022-03-17,111,壬寅,2,15,4
2022-03-18,111,壬寅,2,16,5
2022-03-19,111,壬寅,2,17,6
2022-03-20,111,壬寅,2,18,7
2022-03-21,111,壬寅,2,19,1
2022-03-22,111,壬寅,2,20,2
2022-03-23,111,壬寅,2,21,3
2022-03-24,111,壬寅,2,22,4
2022-03-25,111,壬寅,2,23,5
2022-03-26,111,壬寅,2,24,6
